STAID, SOUID,    DATE,   TN, Q_TN
   274,   921,18150715,  161,    0
   274,   921,18150716,  144,    0
   274,   921,18150717,  139,    0
   274,   921,18150718,  117,    0
   274,   921,18150719,  117,    0
   274,   921,18150720,  111,    0
   274,   921,18150721,   61,    0
   274,   921,18150722,   94,    0
   274,   921,18150723,  106,    0
   274,   921,18150724,  117,    0
   274,   921,18150725,  122,    0
   274,   921,18150726,  150,    0
   274,   921,18150727,   94,    0
   274,   921,18150728,   53,    0
   274,   921,18150729,  100,    0
   274,   921,18150730,  108,    0
   274,   921,18150731,   94,    0
   274,   921,18150801,   78,    0
   274,   921,18150802,   94,    0
   274,   921,18150803,  119,    0
   274,   921,18150804,  117,    0
   274,   921,18150805,  108,    0
   274,   921,18150806,   94,    0
   274,   921,18150807,   67,    0
   274,   921,18150808,   56,    0
   274,   921,18150809,  117,    0
   274,   921,18150810,   81,    0
   274,   921,18150811,  122,    0
   274,   921,18150812,   72,    0
   274,   921,18150813,   94,    0
   274,   921,18150814,  139,    0
   274,   921,18150815,  144,    0
   274,   921,18150816,  150,    0
   274,   921,18150817,  106,    0
   274,   921,18150818,  108,    0
   274,   921,18150819,  128,    0
   274,   921,18150820,   83,    0
   274,   921,18150821,   78,    0
   274,   921,18150822,   72,    0
   274,   921,18150823,  167,    0
   274,   921,18150824,  156,    0
   274,   921,18150825,  150,    0
   274,   921,18150826,  156,    0
   274,   921,18150827,  122,    0
   274,   921,18150828,  150,    0
   274,   921,18150829,  100,    0
   274,   921,18150830,   78,    0
   274,   921,18150831,  150,    0
   274,   921,18150901,  117,    0
   274,   921,18150902,  114,    0
   274,   921,18150903,  117,    0
   274,   921,18150904,  117,    0
   274,   921,18150905,   61,    0
   274,   921,18150906,   67,    0
   274,   921,18150907,   22,    0
   274,   921,18150908,   28,    0
   274,   921,18150909,   56,    0
   274,   921,18150910,   72,    0
   274,   921,18150911,   94,    0
   274,   921,18150912,   67,    0
   274,   921,18150913,   78,    0
   274,   921,18150914,  100,    0
   274,   921,18150915,  100,    0
   274,   921,18150916,  156,    0
   274,   921,18150917,   94,    0
   274,   921,18150918,  139,    0
   274,   921,18150919,  144,    0
   274,   921,18150920,   69,    0
   274,   921,18150921,   17,    0
   274,   921,18150922,   13,    0
   274,   921,18150923,   65,    0
   274,   921,18150924,   31,    0
   274,   921,18150925,   71,    0
   274,   921,18150926,   53,    0
   274,   921,18150927,   53,    0
   274,   921,18150928,   19,    0
   274,   921,18150929,   19,    0
   274,   921,18150930,   65,    0
   274,   921,18151001,   65,    0
   274,   921,18151002,   37,    0
   274,   921,18151003,   13,    0
   274,   921,18151004,   37,    0
   274,   921,18151005,   47,    0
   274,   921,18151006,   88,    0
   274,   921,18151007,   31,    0
   274,   921,18151008,   25,    0
   274,   921,18151009,   -4,    0
   274,   921,18151010,   31,    0
   274,   921,18151011,   25,    0
   274,   921,18151012,   31,    0
   274,   921,18151013,   41,    0
   274,   921,18151014,   76,    0
   274,   921,18151015,   59,    0
   274,   921,18151016,   76,    0
   274,   921,18151017,   59,    0
   274,   921,18151018,   25,    0
   274,   921,18151019,   82,    0
   274,   921,18151020,   99,    0
